operation_name,input_dim_0,input_dim_1,input_dim_2,size,computation_mean
mul,52,4,486,101088,4.1046875
mul,3,4,47,564,0.9896965000000002
mul,448235,1,1,448235,8.826874899999998
mul,14,17,1183,281554,7.0683036
mul,305298,1,1,305298,6.4238393
mul,3,6,37,666,0.9978300999999998
mul,416,1,1,416,0.8655714
mul,1698,23,50,1952700,28.9879641
mul,4074,1,1,4074,0.994866
mul,2,2,1,4,0.8624285
mul,1,11081,1,11081,2.1439909999999998
mul,2,10,2,40,0.8862678
mul,22,104,44,100672,3.3595531999999997
mul,1,583709,1,583709,59.7587323
mul,1270524,1,1,1270524,23.359151699999998
mul,11890621,1,1,11890621,147.5588303
mul,10,70,724,506800,10.7073036
mul,137,1,1,137,0.8611337000000001
mul,24752,102,1,2524704,34.3226964
mul,19169,1,1,19169,1.3402768000000003
mul,3,7,5,105,0.9601788000000001
mul,3,496,1,1488,0.9928393
mul,264830,60,1,15889800,209.38941979999998
mul,1,2,1,2,0.8587411999999999
mul,5,3,1,15,0.8686875000000001
mul,16594,1,1,16594,1.2571519
mul,1608,141,22,4988016,66.6431608
mul,33,1,1,33,0.8595984
mul,263,1,1,263,0.9005804999999999
mul,814396,1,1,814396,15.330982299999999
mul,9577201,1,1,9577201,119.16327660000002
mul,11,59,3,1947,1.119723
mul,22577,1,1,22577,1.4057145000000002
mul,5,9,21,945,1.0954196999999997
mul,2,4,29,232,0.9554374999999998
mul,3,153,1,459,0.9542946999999999
mul,2350203,1,1,2350203,30.775696400000005
mul,4,3,3,36,0.9638481999999999
mul,3,18,7,378,0.9671251
mul,5,194771,1,973855,28.349419900000004
mul,10,15,16,2400,1.2915625
mul,248712,1,1,248712,5.3285446
mul,99,18,1,1782,0.9661431
mul,214,8699,1,1861586,34.00000909999999
mul,4219,1,1,4219,1.0027142
mul,466,71,1,33086,1.6081429
mul,46,1,1,46,0.8599909000000002
mul,23,125,11,31625,1.5588662999999998
mul,59,107,55,347215,8.6108928
mul,424941,21,1,8923761,126.9405714
mul,2,59,1,118,0.8654732
mul,3,38635,1,115905,5.6074284
mul,484307,1,1,484307,9.522848200000002
mul,1392,1,1,1392,0.9546875
mul,149,3,1,447,0.9624466
mul,53094,1,1,53094,1.8957142999999999
mul,12,1,1,12,0.8590088999999999
mul,3,2,356,2136,1.039161
mul,2,3,4,24,0.9352948
mul,4,5,5,100,0.9968839999999999
mul,3210,1,1,3210,0.9795803000000001
mul,4,5,3,60,0.9364377000000002
mul,32,137,12,52608,2.6884373999999998
mul,873,1,1,873,0.9677052000000002
mul,4649,7,1,32543,1.6102588
mul,226,21,2,9492,1.5367502
mul,21,4,4,336,0.9650266999999999
mul,3052694,1,1,3052694,39.4535534
mul,31674,1,1,31674,1.5067323000000001
mul,14,1078,14,211288,5.5739822
mul,2569115,1,1,2569115,33.4329999
mul,125,38,126,598500,12.166008899999998
mul,20,3,3,180,0.9295714
mul,2,5,3,30,0.9145714
mul,23,1,1,23,0.859
mul,46,3,1,138,0.8870092000000002
mul,10,19,1,190,0.9578391999999999
mul,66,2847,1,187902,4.7296963
mul,1883437,1,1,1883437,34.0522677
mul,2,3678266,1,7356532,371.4864107
mul,10159559,1,1,10159559,126.2986875
mul,124672,1,1,124672,3.1871787
mul,185,1,1,185,0.8604196
mul,92095,1,1,92095,2.5775622
mul,4,7,86,2408,1.0188928
mul,383675,1,1,383675,7.7137054
mul,4,11,8,352,0.9825803000000001
mul,1153951,1,1,1153951,21.246294700000004
mul,6701,258,1,1728858,32.7970001
mul,476155,1,1,476155,9.327125200000001
mul,4,2524,1,10096,1.2274284999999998
mul,120137,1,1,120137,3.0607409000000003
mul,5,204,12,12240,1.2865802999999998
mul,5,4,95,1900,1.0488749000000002
mul,2284448,1,1,2284448,29.940160600000002
mul,1,5993855,1,5993855,601.4758659000001
mul,101340,1,1,101340,2.7393126000000003
mul,2,277,1,554,0.9331785
mul,38,12,3,1368,1.106134
mul,608104,1,1,608104,11.687437399999999
mul,4117,3,1,12351,1.4730446000000001
mul,25074,1,1,25074,1.3586964
mul,3166,1,1,3166,1.0005894
mul,1,1013,1,1013,1.0239912000000002
mul,20693,1,1,20693,1.2915356
mul,684,1,1,684,0.9281516999999999
mul,262238,1,1,262238,5.624160900000001
mul,184,122,1,22448,1.3517142000000004
mul,13,17,17,3757,1.6105536
mul,58787,1,1,58787,1.9750001000000001
mul,330,1,1,330,0.9012677
mul,4106151,1,1,4106151,52.3371159
mul,4,543,1,2172,0.9985445000000001
mul,319,6993,1,2230767,29.451428599999996
mul,18,68,42,51408,2.9709998000000004
mul,458,1,1,458,0.9025893000000001
mul,1,961,1,961,1.0239911
mul,1,102653,1,102653,12.044857
mul,1,88287,1,88287,10.6084196
mul,70275,2,1,140550,8.5720268
mul,871,15587,1,13576277,169.29318750000002
mul,40,1,1,40,0.8765447000000002
mul,5,3,3,45,0.9305717000000001
mul,16,7,68,7616,1.2005803000000002
mul,2,4,5,40,0.9854196999999999
mul,40703,1,1,40703,1.6441427000000002
mul,32,3,1584,152064,3.7161428
mul,6659,5,1,33295,1.9274197999999998
mul,152881,1,1,152881,3.7237319999999996
mul,237221,4,1,948884,29.4820177
mul,11,1,1,11,0.865714
mul,10,19,15,2850,1.2805537
mul,305,1,1,305,0.8618572
mul,13090349,1,1,13090349,161.41312500000004
mul,276368,1,1,276368,5.8988305
mul,5,5,3,75,1.0031694
mul,114,9,4,4104,1.03675
mul,4,9,5,180,1.0095357
mul,8,229,1,1832,0.9562856
mul,13,5,4,260,0.9795625999999998
mul,102,77767,1,7932234,101.9492947
mul,239,15,24,86040,2.586
mul,601342,1,1,601342,11.5357232
mul,6869,463,1,3180347,42.8070089
mul,8,314,1,2512,0.9770267
mul,2,24,1480,71040,2.2515805
mul,6,24,1,144,0.9344644000000001
mul,1403790,1,1,1403790,25.621848
mul,619783,1,1,619783,11.8984195
mul,1063140,1,1,1063140,19.676982300000002
mul,146416,2,1,292832,16.844446400000002
mul,1,1094,1,1094,1.0252945999999998
mul,560076,1,1,560076,10.9094284
mul,5638,1,1,5638,1.0261251
mul,5,12,15,900,1.1533927
mul,2406174,1,1,2406174,31.4863126
mul,5,9,11,495,1.0994288
mul,6,11,3,198,0.9687319999999999
mul,49,12,1,588,0.955152
mul,14998,1,1,14998,1.1819643
mul,4,41,19,3116,1.2468572999999998
mul,440281,1,1,440281,8.688991099999999
mul,27317,1,1,27317,1.4253393
mul,113,35,43,170065,4.772696900000001
mul,1,151,1,151,0.8754375
mul,4,5,2,40,0.9748482999999999
mul,10,9,441,39690,2.2511608
mul,7791031,1,1,7791031,97.1216963
mul,1,141,1,141,0.899741
mul,5,11,374,20570,1.5040090000000002
mul,417,1,1,417,0.8996964999999999
mul,4,4,7,112,0.9899997999999999
mul,26439,1,1,26439,1.3958749
mul,10891814,1,1,10891814,134.92829469999998
mul,50,20,2,2000,1.1900178000000001
mul,166178,1,1,166178,3.9237053000000004
mul,1252574,1,1,1252574,23.0257231
mul,47,230,1,10810,1.1534108
mul,43,325,17,237575,6.4945981
mul,21,3,1,63,0.9188391999999999
mul,5203,31,1,161293,3.9255535000000004
mul,209,9,4,7524,1.191259
mul,12,105,229,288540,7.0152857
mul,1627,3529,1,5741683,74.0044377
mul,1,103,1,103,0.8592766999999999
mul,11902,1,1,11902,1.1464197999999999
mul,102,145,1,14790,1.2518571
mul,19,43,1,817,0.9823124
mul,21,1,1,21,0.8818839
mul,2,148,46,13616,2.2055447
mul,62,1,1,62,0.870134
mul,46765,1,1,46765,1.7602946
mul,13,3,1,39,0.8837144
