kernel_name,dim_m,dim_n,dim_k,fusion_avg,fusion_min,fusion_max,fusion_stddev,sample_count,scale_sim_cycles
matmul_3072x3584x3072,3072,3584,3072,98.5543124,98.23375,98.962578,0.2806793137654094,10,2284416
matmul_3072x3584x3584,3072,3584,3584,110.917828,110.495,111.240156,0.2491961260194683,10,2665152
matmul_3072x3584x4096,3072,3584,4096,124.1771328,123.354922,124.621094,0.3633442290527749,10,3045888
matmul_3072x4096x1024,3072,4096,1024,37.3179062,37.026172,37.538672,0.1998185850002722,10,859776
matmul_3072x4096x1536,3072,4096,1536,54.1371484,53.876328,54.37,0.1414353529961849,10,1289664
matmul_3072x4096x2048,3072,4096,2048,70.1428046,69.887422,70.407578,0.164281097383044,10,1719552
matmul_3072x4096x2560,3072,4096,2560,88.4983436,88.0575,88.702656,0.2183816288158549,10,2149440
matmul_3072x4096x3072,3072,4096,3072,107.5236484,107.348828,107.867422,0.1748891732238831,10,2579328
matmul_3072x4096x3584,3072,4096,3584,124.8972422,124.597734,125.277344,0.2519045615474228,10,3009216
matmul_3072x4096x4096,3072,4096,4096,139.749125,139.425,140.006328,0.1915180502343174,10,3439104
matmul_3584x1024x1024,3584,1024,1024,14.3744922,14.136406,14.562578,0.1401385175807616,10,253824
matmul_3584x1024x1536,3584,1024,1536,19.5055,19.3425,19.6825,0.1050086973498438,10,380736
matmul_3584x1024x2048,3584,1024,2048,24.60425,24.3075,24.876328,0.173027730866728,10,507648
matmul_3584x1024x2560,3584,1024,2560,29.5307578,29.27875,29.743828,0.1381803104045983,10,634560
matmul_3584x1024x3072,3584,1024,3072,33.5551874,33.2775,33.845078,0.1575445076980535,10,761472
matmul_3584x1024x3584,3584,1024,3584,38.891328,38.631484,39.44,0.2252697303037201,10,888384
matmul_3584x1024x4096,3584,1024,4096,44.784039,44.592578,44.917656,0.0978327502640194,10,1015296
matmul_3584x1536x1024,3584,1536,1024,20.169586,19.9275,20.735,0.2354468186708459,10,380736
matmul_3584x1536x1536,3584,1536,1536,27.4799766,27.372422,27.590156,0.0787269941340187,10,571104
matmul_3584x1536x2048,3584,1536,2048,35.4047266,35.196172,35.6825,0.1524950561852196,10,761472
matmul_3584x1536x2560,3584,1536,2560,41.3816172,41.020078,41.601328,0.2150876793396901,10,951840
matmul_3584x1536x3072,3584,1536,3072,47.9271562,47.746406,48.075078,0.1129674346052395,10,1142208
matmul_3584x1536x3584,3584,1536,3584,55.85775,55.61625,56.19,0.1690598384662132,10,1332576
matmul_3584x1536x4096,3584,1536,4096,65.0901796,64.87625,65.28,0.1456010399590478,10,1522944
matmul_3584x2048x1024,3584,2048,1024,25.6358672,25.4175,25.97375,0.154553815951165,10,507648
matmul_3584x2048x1536,3584,2048,1536,35.900672,35.765,35.99,0.0625219619227244,10,761472
matmul_3584x2048x2048,3584,2048,2048,43.9620468,43.78875,44.27875,0.1320042945873783,10,1015296
matmul_3584x2048x2560,3584,2048,2560,57.58625,57.137578,57.883828,0.2115833434002898,10,1269120
