Operation_Type,Operation,Input_Shapes,Predicted_Latency_us,Kernel_Name,Actual_Duration_us,Error_Percentage
matmul,linear,"[(2560, 2304), (2304, 2176)]",900252,matmul_linear_176,233.69086589999998,385132.00148748304
matmul,linear,"[(2688, 2304), (2304, 2176)]",939420,matmul_linear_177,243.4234374,385820.1110763708
matmul,linear,"[(2816, 2304), (2304, 2176)]",978588,matmul_linear_178,252.93474099999997,386793.4714666184
matmul,linear,"[(2944, 2304), (2304, 2176)]",1017756,matmul_linear_179,262.4529908,387686.01718262455
matmul,linear,"[(3072, 2304), (2304, 2176)]",1056924,matmul_linear_180,272.0929822,388342.2124577677
matmul,linear,"[(2048, 2304), (2304, 2304)]",773568,matmul_linear_181,176.0897054,439203.3642953666
matmul,linear,"[(2176, 2304), (2304, 2304)]",821916,matmul_linear_182,182.4328839,450430.6184002061
matmul,linear,"[(2304, 2304), (2304, 2304)]",870264,matmul_linear_183,209.9944465,414322.3880701531
matmul,linear,"[(2432, 2304), (2304, 2304)]",911736,matmul_linear_184,224.5780178,405877.401052651
matmul,linear,"[(2560, 2304), (2304, 2304)]",953208,matmul_linear_185,233.95395530000002,407334.01785094757
matmul,linear,"[(2688, 2304), (2304, 2304)]",994680,matmul_linear_186,243.7181607,408027.1568532726
matmul,linear,"[(2816, 2304), (2304, 2304)]",1036152,matmul_linear_187,253.26256239999998,409021.6602173966
matmul,linear,"[(2944, 2304), (2304, 2304)]",1077624,matmul_linear_188,262.8531515,409871.87739634153
matmul,linear,"[(3072, 2304), (2304, 2304)]",1119096,matmul_linear_189,272.2712944,410922.39678484446
matmul,linear,"[(2048, 2304), (2304, 2432)]",810432,matmul_linear_190,227.48100879999998,356163.58625502983
matmul,linear,"[(2176, 2304), (2304, 2432)]",861084,matmul_linear_191,197.946839,434907.70426548715
matmul,linear,"[(2304, 2304), (2304, 2432)]",911736,matmul_linear_192,207.2299913,439863.34424398537
matmul,linear,"[(2432, 2304), (2304, 2432)]",962388,matmul_linear_193,215.26267869999998,446976.1052552117
matmul,linear,"[(2560, 2304), (2304, 2432)]",1006164,matmul_linear_194,224.17385700000005,448731.99739031115
matmul,linear,"[(2688, 2304), (2304, 2432)]",1049940,matmul_linear_195,233.3918928,449761.3843882413
matmul,linear,"[(2816, 2304), (2304, 2432)]",1093716,matmul_linear_196,242.280723,451325.10161652445
matmul,linear,"[(2944, 2304), (2304, 2432)]",1137492,matmul_linear_197,251.4744643,452229.0279855265
matmul,linear,"[(3072, 2304), (2304, 2432)]",1181268,matmul_linear_198,272.53443760000005,433338.06764477666
matmul,linear,"[(2048, 2304), (2304, 2560)]",847296,matmul_linear_199,229.0132677,369876.81772303715
matmul,linear,"[(2176, 2304), (2304, 2560)]",900252,matmul_linear_200,198.32903570000002,453818.4072682909
matmul,linear,"[(2304, 2304), (2304, 2560)]",953208,matmul_linear_201,207.8250089,458558.9482397948
