Operation_Type,Operation,Input_Shapes,Predicted_Latency_us,Kernel_Name,Actual_Duration_us,Error_Percentage
matmul,linear,"[(1152, 1152), (1152, 2048)]",196830,matmul_linear_155,63.64099100000001,309181.79606756906
matmul,linear,"[(1280, 1152), (1152, 2048)]",218700,matmul_linear_156,66.78185729999998,327384.153394458
matmul,linear,"[(1408, 1152), (1152, 2048)]",240570,matmul_linear_157,70.0532858,343310.01603667816
matmul,linear,"[(1536, 1152), (1152, 2048)]",262440,matmul_linear_158,73.41943770000002,357353.02364253864
matmul,linear,"[(1664, 1152), (1152, 2048)]",284310,matmul_linear_159,76.6868305,370641.6229700613
matmul,linear,"[(1792, 1152), (1152, 2048)]",306180,matmul_linear_160,80.58782140000001,379833.3381656598
matmul,linear,"[(1920, 1152), (1152, 2048)]",328050,matmul_linear_161,98.76825880000001,332041.11900492467
matmul,linear,"[(2048, 1152), (1152, 2048)]",349920,matmul_linear_162,116.53273219999998,300176.14850688283
matmul,linear,"[(1024, 1280), (1280, 1024)]",112480,matmul_linear_163,38.9665447,288557.87527730165
matmul,linear,"[(1152, 1280), (1280, 1024)]",122720,matmul_linear_164,42.3549647,289641.7123806504
matmul,linear,"[(1280, 1280), (1280, 1024)]",132960,matmul_linear_165,45.8095624,290145.07773948956
matmul,linear,"[(1408, 1280), (1280, 1024)]",143200,matmul_linear_166,49.2375893,290734.70989510854
matmul,linear,"[(1536, 1280), (1280, 1024)]",153440,matmul_linear_167,52.611285499999994,291548.45249789616
matmul,linear,"[(1664, 1280), (1280, 1024)]",163680,matmul_linear_168,55.990294600000006,292236.37931242463
matmul,linear,"[(1792, 1280), (1280, 1024)]",173920,matmul_linear_169,59.3907052,292740.43591386755
matmul,linear,"[(1920, 1280), (1280, 1024)]",184160,matmul_linear_170,62.75654469999999,293351.46530988027
matmul,linear,"[(2048, 1280), (1280, 1024)]",194400,matmul_linear_171,66.1761073,293661.612659861
matmul,linear,"[(1024, 1280), (1280, 1152)]",122720,matmul_linear_172,37.9588749,323197.25347049214
matmul,linear,"[(1152, 1280), (1280, 1152)]",138060,matmul_linear_173,72.7317323,189720.86035093653
matmul,linear,"[(1280, 1280), (1280, 1152)]",149580,matmul_linear_174,79.9964643,186883.26395907975
matmul,linear,"[(1408, 1280), (1280, 1152)]",161100,matmul_linear_175,87.20025,184647.17675694736
matmul,linear,"[(1536, 1280), (1280, 1152)]",172620,matmul_linear_176,94.40628559999999,182747.99460429148
