kernel_name,dim_m,dim_n,dim_k,fusion_avg,fusion_min,fusion_max,fusion_stddev
matmul_3584x1024x1024,3584,1024,1024,96.0147412,95.895804,96.231518,0.1367379261749362
matmul_3584x1024x1536,3584,1024,1536,97.7861428,97.72,97.855625,0.04607761485628781
matmul_3584x1024x2048,3584,1024,2048,127.8086966,127.621429,128.001339,0.1619823299239759
matmul_3584x1024x2560,3584,1024,2560,154.4828304,154.202857,154.74,0.1706808006876562
matmul_3584x1024x3072,3584,1024,3072,171.9751338,171.724375,172.125715,0.1161580365630298
matmul_3584x1024x3584,3584,1024,3584,196.6170179,196.448571,196.868661,0.18248931405090052
matmul_3584x1024x4096,3584,1024,4096,221.1874378,221.015804,221.355804,0.11831129753117885
matmul_3584x1536x1024,3584,1536,1024,115.8610983,115.687054,116.017053,0.13519331472216378
matmul_3584x1536x1536,3584,1536,1536,153.5285714,153.320089,153.718571,0.1413881593401664
matmul_3584x1536x2048,3584,1536,2048,187.3203035,187.164375,187.545714,0.14848450988888967
matmul_3584x1536x2560,3584,1536,2560,225.60725,225.438482,225.851429,0.1430686347099803
matmul_3584x1536x3072,3584,1536,3072,233.648866,233.432947,233.792768,0.10828363401835651
matmul_3584x1536x3584,3584,1536,3584,273.9621608,273.741429,274.06009,0.11506744908850049
matmul_3584x1536x4096,3584,1536,4096,317.9848304,317.735625,318.192858,0.13088067772864656
matmul_3584x2048x1024,3584,2048,1024,138.0854199,137.891429,138.232947,0.12624612808887628
matmul_3584x2048x1536,3584,2048,1536,189.9131519,189.677143,190.005715,0.10680068086596645
matmul_3584x2048x2048,3584,2048,2048,238.13554440000001,237.875714,238.214285,0.09848957906996145
matmul_3584x2048x2560,3584,2048,2560,271.4865892,271.311428,271.744286,0.17249268551372146
matmul_3584x2048x3072,3584,2048,3072,316.4434197,316.197053,316.57134,0.12318179323265509
matmul_3584x2048x3584,3584,2048,3584,388.3572857,388.27009,388.505714,0.10422783396862209
matmul_3584x2048x4096,3584,2048,4096,437.3512766,437.162857,437.508482,0.1424214966976549
matmul_3584x2560x1024,3584,2560,1024,160.0985535,159.891429,160.231339,0.10553138741757484
matmul_3584x2560x1536,3584,2560,1536,233.4503034,233.362946,233.531518,0.0705593386168354
matmul_3584x2560x2048,3584,2560,2048,298.3043035,298.044286,298.43866,0.11962825579106519
matmul_3584x2560x2560,3584,2560,2560,361.4868482,361.248661,361.63,0.11866454576549872
matmul_3584x2560x3072,3584,2560,3072,407.2964106,407.057143,407.468571,0.15492392180981765
matmul_3584x2560x3584,3584,2560,3584,454.5307054,454.311428,454.764375,0.18444197153407932
matmul_3584x2560x4096,3584,2560,4096,488.3624552,488.152946,488.594375,0.13850386070335674
matmul_3584x3072x1024,3584,3072,1024,194.4968394,194.338572,194.769911,0.15290648419518715
matmul_3584x3072x1536,3584,3072,1536,282.0371518,281.920089,282.187143,0.07650822946410907
matmul_3584x3072x2048,3584,3072,2048,354.4592857,354.258572,354.66,0.14217746705207235
matmul_3584x3072x2560,3584,3072,2560,404.4530181,404.22866,404.759911,0.22959457211326884
matmul_3584x3072x3072,3584,3072,3072,471.7147232,471.487232,471.935714,0.18328427302890746
matmul_3584x3072x3584,3584,3072,3584,542.1107143,541.835714,542.234197,0.1276954806770304
matmul_3584x3072x4096,3584,3072,4096,629.7571697,629.524285,629.86,0.10842969389432328
matmul_3584x3584x1024,3584,3584,1024,223.5104377,223.439911,223.617233,0.057788834619482726
matmul_3584x3584x1536,3584,3584,1536,447.4435713,447.29009,447.597143,0.10503027979698254
matmul_3584x3584x2048,3584,3584,2048,404.2569909,404.14,404.412946,0.08472065701330159
matmul_3584x3584x2560,3584,3584,2560,467.2205803,466.992857,467.417053,0.15641004411485812
matmul_3584x3584x3072,3584,3584,3072,544.7795625,544.698482,544.951428,0.07811783772714695
matmul_3584x3584x3584,3584,3584,3584,618.4431695000001,618.26866,618.57,0.07828357679936908
matmul_3584x3584x4096,3584,3584,4096,668.9514287000001,668.762858,669.15,0.1587552830645465
matmul_3584x4096x1024,3584,4096,1024,262.0692677,261.862946,262.174197,0.09615613716826134
matmul_3584x4096x1536,3584,4096,1536,391.4385804,391.271429,391.541429,0.09156607043634966
matmul_3584x4096x2048,3584,4096,2048,474.743134,474.531429,475.118572,0.20399217025823263
matmul_3584x4096x2560,3584,4096,2560,609.1691248,609.024197,609.36,0.1179826443006797
matmul_3584x4096x3072,3584,4096,3072,610.5928572,610.397143,610.708661,0.0861847263444406
matmul_3584x4096x3584,3584,4096,3584,780.0847322,779.847143,780.211518,0.13489757264334612
